# Base de coques relevee sur documents constructeurs fournis par l'utilisateur
# Filippi 'Moulds list' v.4 04/11/2024 -- Empacher 'Bootsformen' Dez25
# loa_m = longueur HORS-TOUT. beam_wl_m = largeur A LA FLOTTAISON (explicite chez les deux).
# ATTENTION : la longueur de flottaison n'est PAS publiee. L_wl est estimee a 0,97*LOA (categorie N).
# Les masses de coque ne sont PAS publiees en gamme course : on retient les minima reglementaires.
builder,mould,boat_class,loa_m,beam_wl_m,rower_kg_min,rower_kg_max
Empacher,R17,1x,7.66,0.26,65,75
Empacher,R14,1x,7.4,0.26,50,65
Empacher,R04,1x,7.08,0.26,45,60
Empacher,R23,2-,9.91,0.33,95,105
Empacher,R32,2-,9.85,0.34,95,105
Empacher,R20,2-,9.91,0.33,90,100
Empacher,R21,2-,9.77,0.33,85,95
Empacher,R24,2-,9.41,0.34,75,85
Empacher,R26,2-,9.24,0.32,65,80
Empacher,R29,2-,8.98,0.31,50,65
Empacher,R25,2x,9.36,0.31,65,75
Empacher,R55,4-,12.45,0.41,85,100
Empacher,R48,4-,12.43,0.43,90,100
Empacher,R54,4-,11.88,0.41,80,95
Empacher,R44,4-,12.02,0.44,75,95
Empacher,R50,4-,11.7,0.41,65,85
Empacher,R40,4-,11.78,0.43,65,80
Empacher,R41,4-,10.5,0.37,0,65
Empacher,R47,4x,11.69,0.39,65,75
Empacher,R43,4+,13.58,0.47,90,105
Empacher,R46,4+,12.26,0.46,70,90
Empacher,R88,8+,17.4,0.55,90,105
Empacher,R80,8+,17.25,0.55,85,100
Empacher,R86,8+,17.63,0.56,85,100
Empacher,R87,8+,16.9,0.54,75,90
Empacher,R89,8+,16.73,0.54,65,80
Hudson,U1.12,1x,7.239,,50,64
Hudson,U1.11,1x,7.493,,60,70
Hudson,U1.21,1x,8.001,,70,82
Hudson,U1.32,1x,8.026,,76,90
Hudson,U1.42,1x,8.23,,86,100
Hudson,U1.42+,1x,8.23,,97,111
Hudson,U1.51,1x,9.017,,108,130
Hudson,U2.12,2x/2-,8.992,,52,67
Hudson,U2.21,2x/2-,9.271,,63,79
Hudson,U2.22,2x/2-,9.474,,66,79
Hudson,U2.32,2x/2-,9.754,,73,88
Hudson,U2.42,2x/2-,9.957,,86,104
Hudson,U4.22,4x/4-,12.014,,63,78
Hudson,U4.21,4x/4-,12.344,,72,84
Hudson,U4.31,4x/4-,12.344,,76,92
Hudson,U4.42,4x/4-,12.852,,86,104
Hudson,C4.11,4x/4-,12.573,,52,66
Hudson,U5.11,4+,12.344,,52,67
Hudson,U5.21,4+,12.344,,64,78
Hudson,U5.31,4+,12.954,,75,88
Hudson,U5.41,4+,12.954,,86,104
Hudson,U8.12,8+,17.221,,57,73
Hudson,U8.21,8+,17.374,,68,82
Hudson,U8.32,8+,17.424,,77,93
Hudson,U8.43,8+,17.577,,88,104
WinTech,Filter-SLW,1x,6.965,,50,60
WinTech,Filter-LW,1x,7.9,,60,75
WinTech,Filter-MW,1x,7.905,,75,85
WinTech,Filter-HW,1x,8.12,,85,105
WinTech,Filter-SHW,1x,8.33,,105,120
WinTech,Filter-SLW,2x/2-,9.03,,50,60
WinTech,Filter-LW,2x/2-,9.4,,60,80
WinTech,Filter-MW,2x/2-,9.575,,80,90
WinTech,Filter-HW,2x/2-,9.87,,90,105
WinTech,Filter-SLW,4x/4-,11.016,,50,60
WinTech,Filter-LW,4x/4-,11.82,,60,80
WinTech,Filter-MW,4x/4-,12.275,,80,90
WinTech,Filter-HW,4x/4-,12.77,,90,105
WinTech,Filter-HW-court,4x/4-,11.95,,90,105
WinTech,Filter-SLW,4+,11.81,,55,65
WinTech,Filter-LW,4+,12.275,,65,80
WinTech,Filter-MW,4+,12.77,,75,90
WinTech,Filter-HW,4+,12.77,,90,105
WinTech,King-LW,4+,12.47,,70,80
WinTech,King-MW,4+,12.9,,80,90
WinTech,Filter-SLW,8+,16.55,,60,75
WinTech,Filter-LW,8+,16.794,,70,85
WinTech,Filter-MW,8+,17.17,,80,90
WinTech,Filter-HW,8+,17.195,,90,105
WinTech,Filter-SHW,8+,17.604,,105,120
WinTech,King-SLW,8+,16.93,,60,70
WinTech,King-LW,8+,17.54,,70,80
WinTech,King-MW,8+,17.635,,80,90
Swift,121-,1x,7.45,,50,65
Swift,109L-,1x,7.9,,55,65
Swift,122-,1x,7.98,,60,75
Swift,109H-,1x,7.9,,65,75
Swift,123-,1x,8.05,,70,85
Swift,127-,1x,7.89,,70,85
Swift,124-,1x,8.06,,75,90
Swift,125L-,1x,8.26,,85,100
Swift,125H-,1x,8.26,,95,110
Swift,221-,2x/2-,9.26,,50,65
Swift,211L-,2x/2-,9.4,,55,65
Swift,222-,2x/2-,9.43,,60,75
Swift,211H-,2x/2-,9.4,,65,75
Swift,223-,2x/2-,9.58,,70,85
Swift,224-,2x/2-,9.7,,75,90
Swift,225-,2x/2-,9.78,,85,100
Swift,226-,2x/2-,9.95,,90,105
Swift,421A-,4x/4-,11.43,,50,60
Swift,422-,4x/4-,11.75,,60,75
Swift,423A-,4x/4-,11.75,,65,80
Swift,426-,4x/4-,11.85,,70,85
Swift,424-,4x/4-,11.94,,80,95
Swift,408-,4x/4-,12.6,,90,105
Swift,425-,4x/4-,12.72,,90,105
Swift,423A+,4+,11.75,,50,65
Swift,426+,4+,11.85,,55,70
Swift,424+,4+,11.94,,60,75
Swift,408+,4+,12.6,,75,90
Swift,425+,4+,12.72,,75,90
Swift,808+,8+/8x,16.0,,50,65
Swift,821+,8+/8x,16.85,,65,80
Swift,822+,8+/8x,17.0,,75,90
Swift,823+,8+/8x,17.6,,85,100
Vespoli,VHP135,1x,7.366,,54.4,68.0
Vespoli,VHP165,1x,8.001,,68.0,81.6
Vespoli,VHP175,1x,7.874,,72.6,86.2
Vespoli,VHP200,1x,8.331,,83.9,97.5
Vespoli,VHP29,2x/2-,9.093,,49.9,65.8
Vespoli,VHP30,2x/2-,9.144,,68.0,81.6
Vespoli,VHP32,2x/2-,9.83,,81.6,99.8
Vespoli,VHP39,4x/4-,11.887,,59.0,77.1
Vespoli,VHP40,4x/4-,12.192,,74.8,88.5
Vespoli,VHP41,4x/4-,12.497,,83.9,99.8
Vespoli,VHP39c,4+,12.04,,54.4,68.0
Vespoli,VHP41c,4+,12.725,,65.8,81.6
Vespoli,VHP43c,4+,12.979,,81.6,99.8
Vespoli,VHP51,8+,15.519,,54.4,68.0
Vespoli,VHP53,8+,16.281,,61.2,74.8
Vespoli,VHP55,8+,16.84,,68.0,81.6
Vespoli,VHP56,8+,17.069,,74.8,88.5
Vespoli,VHP57,8+,17.374,,79.4,93.0
Vespoli,VHP57XL,8+,17.424,,88.5,102.1
